product_id,title,category,material,colour,description,price,gender,size_range,season,keywords,stock_status
QNC-001,Women's Organic Cotton Relaxed Tee,Organic Cotton Tee,Organic Cotton,White,"This relaxed-fit tee is crafted from 100% GOTS-certified organic cotton, offering a breathable and soft feel perfect for everyday wear. The dropped shoulders and slightly oversized silhouette make it easy to style with jeans or under a blazer. Machine wash cold and tumble dry low to maintain its shape and colour.",38.00,Women,XS-XXL,All Season,"organic cotton tee, women's basics, relaxed fit, sustainable clothing, everyday essential",In Stock
QNC-002,Men's Mongolian Cashmere V-Neck Sweater,Mongolian Cashmere Cardigan,,Camel,"Mongolian cashmere is exceptionally soft.",0,,S-XL,Fall/Winter,"cashmere sweater, men's knitwear, v-neck",In Stock
QNC-003,European Linen Queen Sheet Set,Linen Sheet Set,European Linen,Oatmeal,"Woven from premium European linen sourced from Belgium, this queen sheet set becomes softer with every wash. The breathable, moisture-wicking fabric keeps you cool in summer and warm in winter. Machine wash on a gentle cycle and line dry for best results.",198.00,Unisex,Queen,All Season,"linen sheets, bedding, European linen, queen sheet set, breathable bedding",In Stock
QNC-004,Women's Silk Midi Skirt,Silk Midi Skirt,100% Mulberry Silk,navy/blue,"This elegant midi skirt features a fluid silhouette.",95.00,Women,XS-XL,Spring/Summer,"silk skirt, midi skirt, women's silk",In Stock
QNC-005,Men's Pima Cotton Polo,Pima Cotton Polo,Pima Cotton,Forest Green,"Crafted from extra-long staple Pima cotton, this polo features a clean, minimalist design with a two-button placket and ribbed collar. The fabric is notably softer and more durable than standard cotton, resisting pilling even after repeated washes. Machine wash cold; lay flat to dry to preserve the structured collar.",68.00,Men,S-XXL,Spring/Summer,"pima cotton polo, men's polo shirt, premium polo, cotton polo, casual office wear",In Stock
QNC-006,Women's Merino Wool Turtleneck,Merino Wool Sweater,Merino Wool,Ivory,"A cosy everyday turtleneck.",55.00,Women,XS-XL,Fall/Winter,,In Stock
QNC-007,Mongolian Cashmere Wrap,Cashmere Wrap,Mongolian Cashmere,grey/charcoal,"This luxuriously soft cashmere wrap is woven from Grade-A Mongolian cashmere, making it an indulgent yet versatile accessory for cooler months. Drape it as a scarf, a shawl, or a light wrap over your shoulders when the temperature dips. Dry clean only to preserve the delicate fibres and maintain its lofty softness.",145.00,Women,One Size,Fall/Winter,"cashmere wrap, luxury wrap, mongolian cashmere, women's accessories, cosy wrap",In Stock
QNC-008,Men's Organic Cotton Crew Neck Tee,Organic Cotton Tee,Organic Cotton,Slate Blue,"A well-made basic tee for men.",32.00,Men,S-XXL,All Season,"organic tee, men's tee, organic tee",Low Stock
QNC-009,Women's Cashmere Wrap Cardigan,Mongolian Cashmere Cardigan,Mongolian Cashmere,Blush,"Wrap yourself in the cloud-like warmth of 100% Mongolian cashmere with this open-front cardigan. The relaxed drape and long silhouette make it ideal for layering over a silk camisole or a fitted turtleneck. Hand wash gently in cool water with a cashmere-safe detergent or have it dry cleaned.",185.00,Women,XS-XL,Fall/Winter,"cashmere cardigan, wrap cardigan, women's knitwear, luxury cardigan, sustainable cashmere",In Stock
QNC-010,Men's European Linen Shirt,Linen Sheet Set,,White,"Classic European linen collarless shirt featuring a relaxed, breathable weave.",78.00,Men,S-XL,Spring/Summer,"linen shirt, men's linen, casual shirt",
